2013,66
2013,84
2013,24
2013,28
2013,85
2013,51
2013,44
2013,39
2013,88
2013,46
2015,93
2015,59
2015,28
2015,82
2015,88
2015,62
2015,57
2015,96
2015,39
2015,14
2016,52
2016,41
2016,37
2016,56
2016,65
2016,27
2016,29
2016,42
2016,70
2016,66
2017,93
2017,84
2017,86
2017,42
2017,45
2017,17
2017,66
2017,66
2017,67
2017,49
2018,36
2018,17
2018,58
2018,39
2018,13
2018,46
2018,65
2018,44
2018,35
2018,38
2019,51
2019,91
2019,53
2019,56
2019,39
2019,67
2019,33
2019,34
2019,45
2019,95
2020,33
2020,55
2020,64
2020,68
2020,50
2020,57
2020,51
2020,60
2020,33
2020,45
2021,91
2021,64
2021,33
2021,73
2021,69
2021,74
2021,72
2021,14
2021,71
2021,46
